x	y	z	cluster	label
0.129247	0.156686	0.180398	6	My awesome label here!
0.154826	0.113887	0.031230	2	My awesome label here!
0.140782	0.110083	0.205579	23	My awesome label here!
0.064191	0.073539	0.096861	13	My awesome label here!
0.051051	0.085919	0.086356	13	My awesome label here!
-0.242504	-0.196083	-0.283414	0	My awesome label here!
-0.259117	-0.214131	-0.254777	11	My awesome label here!
0.118676	0.151874	0.130975	16	My awesome label here!
0.129247	0.156686	0.180398	6	My awesome label here!
-0.229178	-0.183346	-0.305057	14	My awesome label here!
-0.238185	-0.191773	-0.290567	0	My awesome label here!
0.168390	-0.091531	0.343881	22	My awesome label here!
0.072931	0.075611	0.097923	13	My awesome label here!
-0.241300	-0.194797	-0.285471	0	My awesome label here!
0.104125	0.040395	0.021381	25	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.135174	0.144453	0.180397	6	My awesome label here!
0.089855	0.148108	0.121920	16	My awesome label here!
-0.259128	-0.214119	-0.254776	11	My awesome label here!
-0.239167	-0.192771	-0.288928	0	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.158891	0.023481	0.150090	26	My awesome label here!
0.129247	0.156686	0.180398	6	My awesome label here!
0.152681	0.102322	0.086147	15	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
-0.221142	-0.176057	-0.317804	14	My awesome label here!
0.124554	0.142710	0.133845	24	My awesome label here!
-0.210908	-0.169262	-0.332173	14	My awesome label here!
0.092520	0.158455	0.101937	16	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
0.063286	0.079052	0.093456	13	My awesome label here!
-0.211541	-0.169599	-0.331347	14	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
-0.255610	-0.210530	-0.260669	11	My awesome label here!
0.158880	0.023477	0.150100	26	My awesome label here!
0.146943	0.086645	0.181821	23	My awesome label here!
0.066531	0.051555	0.123033	13	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
0.092520	0.158455	0.101937	16	My awesome label here!
0.064191	0.073539	0.096861	13	My awesome label here!
0.146160	0.086462	0.181734	23	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.133278	0.168836	0.181443	6	My awesome label here!
0.143626	0.085868	0.181451	23	My awesome label here!
0.066531	0.051555	0.123033	13	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.156415	0.094645	0.120936	28	My awesome label here!
-0.221309	-0.176227	-0.317526	14	My awesome label here!
-0.197957	-0.158706	-0.351801	14	My awesome label here!
0.058490	0.130319	0.025768	21	My awesome label here!
-0.264717	-0.220895	-0.244605	11	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.232226	-0.186190	-0.300160	0	My awesome label here!
0.118535	0.137153	0.165398	6	My awesome label here!
0.135790	0.134496	0.190879	6	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.373369	-0.426434	0.009131	3	My awesome label here!
0.131714	0.172550	0.145620	16	My awesome label here!
0.107419	0.099179	0.093055	24	My awesome label here!
0.130840	0.193430	0.153888	16	My awesome label here!
-0.251389	-0.205385	-0.268366	0	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.235824	-0.189555	-0.294373	0	My awesome label here!
0.064722	0.094055	0.047956	21	My awesome label here!
-0.286317	-0.239318	-0.211096	11	My awesome label here!
0.105940	0.028524	0.028813	25	My awesome label here!
0.070495	0.090484	0.088729	13	My awesome label here!
-0.254909	-0.209562	-0.262033	11	My awesome label here!
-0.208438	-0.166378	-0.336567	14	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
-0.249629	-0.203661	-0.271259	0	My awesome label here!
-0.255698	-0.210434	-0.260661	11	My awesome label here!
0.106102	0.120147	0.127367	24	My awesome label here!
0.144956	0.012694	0.231814	9	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.124643	0.176545	0.141580	16	My awesome label here!
0.139243	0.120775	0.202148	23	My awesome label here!
-0.237859	-0.191502	-0.291067	0	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.232213	-0.186205	-0.300161	0	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
-0.231421	-0.185431	-0.301459	0	My awesome label here!
0.088696	0.077747	0.133256	13	My awesome label here!
0.092713	0.101546	0.165121	24	My awesome label here!
-0.275422	-0.233775	-0.225185	11	My awesome label here!
0.132695	0.168904	0.181706	6	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.112041	0.110839	0.144668	24	My awesome label here!
-0.261770	-0.216325	-0.250718	11	My awesome label here!
-0.124562	-0.538284	-0.126031	3	My awesome label here!
0.130144	0.128937	0.183381	6	My awesome label here!
-0.248104	-0.201893	-0.273971	0	My awesome label here!
0.066531	0.051555	0.123033	13	My awesome label here!
0.060502	0.096087	0.082927	13	My awesome label here!
0.064856	0.093254	0.048449	21	My awesome label here!
-0.212359	-0.170339	-0.330052	14	My awesome label here!
0.076446	0.054342	0.111041	13	My awesome label here!
0.153546	0.084250	0.174510	23	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.143449	0.093594	0.202755	23	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
-0.240077	-0.193664	-0.287431	0	My awesome label here!
0.115076	0.093447	0.169978	23	My awesome label here!
0.127965	0.050655	0.166439	26	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.136360	0.135741	0.192751	6	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.214772	-0.170877	-0.327458	14	My awesome label here!
-0.240078	-0.193663	-0.287431	0	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.147117	0.066486	0.186946	23	My awesome label here!
-0.231136	-0.185213	-0.301882	0	My awesome label here!
0.125579	0.157003	0.149770	6	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.076446	0.054342	0.111041	13	My awesome label here!
0.168168	0.083523	0.051782	15	My awesome label here!
